event_title,category,department,target_year,capacity,location,date,time,event_tags,success_rate,actual_success_rate,actual_attendees,actual_engagement,actual_sentiment
Cultural Day Celebrations,Cultural,Management,all,300,Open Ground,2024-11-03,16:00,"culture, celebration",94.0,,,,
Physics Olympiad Prep,Academic,Science,4,60,Seminar Room,2024-12-17,09:00,"physics, olympiad",74.0,,,,
Table Tennis Tournament Finals,Sports,Mechanical,all,80,Main Hall,2024-11-13,14:00,"table tennis, finals",87.0,,,,
Entrepreneurial Mindset,Professional,Management,all,100,Seminar Room,2024-09-21,10:00,"entrepreneurship, mindset",85.0,,,,
Machine Learning Applications,Technology,Computer,4,140,Main Hall,2024-10-04,09:00,"ml, applications",91.0,,,,
Drama Workshop,Cultural,Management,all,70,Auditorium,2024-08-29,16:00,"drama, workshop",75.0,,,,
Analog Electronics Design,Academic,Electrical,3,80,Seminar Room,2024-09-22,10:00,"electronics, design",77.0,,,,
Swimming Championship,Sports,Civil,all,120,Open Ground,2024-09-05,10:00,"swimming, championship",86.0,,,,
Personal Development Plan,Professional,Management,all,90,Seminar Room,2024-10-20,11:00,"personal development, planning",80.0,,,,
Deep Learning Applications,Technology,Computer,4,130,Virtual,2024-11-06,10:00,"deep learning, applications",90.0,,,,
Inter-College Debate,Academic,Science,all,100,Auditorium,2024-10-25,10:00,"debate, inter college",79.0,,,,
Marathon for Charity,Sports,Civil,all,250,Open Ground,2024-12-15,08:00,"marathon, charity",94.0,,,,
Career Mentoring Session,Professional,Management,all,80,Virtual,2024-09-10,14:00,"mentoring, career",86.0,,,,
AI in Medicine,Technology,Computer,4,110,Virtual,2024-12-10,10:00,"ai, medicine",87.0,,,,
Cultural Singing Competition,Cultural,Management,all,200,Auditorium,2024-09-16,17:00,"singing, cultural",91.0,,,,
Numerical Methods in Engineering,Academic,Mechanical,3,75,Seminar Room,2024-11-09,11:00,"numerical, engineering",76.0,,,,
Squash Training,Sports,Mechanical,all,50,Open Ground,2024-09-04,14:00,"squash, training",78.0,,,,
Effective Teamwork,Professional,Management,all,100,Seminar Room,2024-08-19,10:00,"teamwork, collaboration",83.0,,,,
Blockchain for Finance,Technology,Computer,4,100,Virtual,2024-10-13,11:00,"blockchain, finance",87.0,,,,
Traditional Sports Day,Sports,all,all,250,Open Ground,2024-11-20,09:00,"sports, traditional",92.0,,,,
Physics Lecture Series,Academic,Science,all,150,Main Hall,2024-09-23,10:00,"physics, lecture",78.0,,,,
Yoga for Wellness,Sports,Science,all,70,Main Hall,2024-07-13,07:00,"yoga, wellness",72.0,,,,
Interview Coaching,Professional,Management,all,60,Virtual,2024-12-05,15:00,"interview, coaching",81.0,,,,
AR/VR for Beginners,Technology,Computer,2,90,Seminar Room,2024-11-18,10:00,"ar, vr",84.0,,,,
Poetry Reading,Cultural,Science,all,80,Seminar Room,2024-12-19,16:00,"poetry, reading",74.0,,,,
Advanced Databases,Academic,Computer,4,100,Seminar Room,2024-10-06,09:00,"databases, advanced",86.0,,,,
Cricket Skills Workshop,Sports,Electrical,all,80,Open Ground,2024-08-07,15:00,"cricket, skills",75.0,,,,
Career Planning Workshop,Professional,Management,all,90,Seminar Room,2024-09-20,11:00,"career, planning",84.0,,,,
Data Analytics in Business,Technology,Computer,4,130,Virtual,2024-11-10,09:00,"data analytics, business",89.0,,,,
Cultural Food Fair,Cultural,Management,all,300,Open Ground,2024-10-28,17:00,"food, fair",93.0,,,,
Chemistry Olympiad,Academic,Science,4,65,Seminar Room,2024-12-03,09:00,"chemistry, olympiad",73.0,,,,
Volleyball Championship,Sports,Electrical,all,100,Open Ground,2024-11-26,14:00,"volleyball, championship",89.0,,,,
Public Speaking Competition,Professional,Science,all,80,Auditorium,2024-09-24,10:30,"public speaking, competition",79.0,,,,
AI for Social Good,Technology,Computer,4,100,Virtual,2024-12-17,11:00,"ai, social good",88.0,,,,
Traditional Dance Performance,Cultural,Management,all,250,Auditorium,2024-11-17,18:00,"dance, traditional",91.0,,,,
Differential Equations Applications,Academic,Science,4,80,Seminar Room,2024-10-22,10:00,"differential equations, applications",77.0,,,,
Basketball Training,Sports,Civil,all,90,Open Ground,2024-07-31,16:00,"basketball, training",70.0,,,,
Negotiation Skills Workshop,Professional,Management,all,70,Seminar Room,2024-08-06,10:00,"negotiation, workshop",76.0,,,,
IoT Security Workshop,Technology,Electrical,4,90,Seminar Room,2024-10-31,09:00,"iot, security",84.0,,,,
Cultural Singing Performance,Cultural,Management,all,200,Auditorium,2024-09-27,18:00,"singing, performance",90.0,,,,
Physics Concepts Review,Academic,Science,1,60,Seminar Room,2024-09-01,11:00,"physics, review",70.0,,,,
Athletics Meet Finals,Sports,Civil,all,300,Open Ground,2024-12-11,09:00,"athletics, finals",95.0,,,,
Job Readiness Program,Professional,Management,all,150,Main Hall,2024-11-09,10:00,"job readiness, career",90.0,,,,
Web Development Frameworks,Technology,Computer,3,110,Seminar Room,2024-08-20,09:00,"web dev, frameworks",88.0,,,,
Annual Drama Production,Cultural,Management,all,350,Auditorium,2024-12-14,19:00,"drama, production",96.0,,,,
Advanced Chemistry,Academic,Science,3,70,Seminar Room,2024-11-01,14:00,"chemistry, advanced",75.0,,,,
Football Skills Training,Sports,Civil,all,100,Open Ground,2024-07-17,16:00,"football, skills",72.0,,,,
Interview Strategies,Professional,Management,all,80,Virtual,2024-10-11,10:00,"interview, strategies",85.0,,,,
AI in Robotics Workshop,Technology,Mechanical,4,100,Virtual,2024-12-09,09:00,"ai, robotics",89.0,,,,
Cultural Painting Competition,Cultural,Management,all,100,Main Hall,2024-10-19,10:00,"painting, cultural",82.0,,,,
Linear Algebra for ML,Academic,Computer,4,90,Seminar Room,2024-09-25,11:00,"linear algebra, ml",85.0,,,,
Tennis Skills Workshop,Sports,Electrical,all,80,Open Ground,2024-08-11,15:00,"tennis, skills",75.0,,,,
Career Growth Strategies,Professional,Management,all,110,Seminar Room,2024-09-03,11:00,"career, growth",84.0,,,,
Deep Learning for Computer Vision,Technology,Computer,4,120,Virtual,2024-11-21,09:00,"deep learning, computer vision",90.0,,,,
Annual Literary Meet,Academic,Science,all,100,Auditorium,2024-11-24,10:00,"literary, meet",79.0,,,,
Marathon Preparation,Sports,Civil,all,150,Open Ground,2024-11-29,07:00,"marathon, preparation",89.0,,,,
Job Fair for Graduates,Professional,Management,4,250,Main Hall,2024-12-12,10:00,"job fair, graduates",92.0,,,,
AI in Cybersecurity,Technology,Computer,4,130,Virtual,2024-12-19,10:00,"ai, cybersecurity",89.0,,,,
Cultural Talent Show,Cultural,Management,all,280,Auditorium,2024-09-10,18:00,"talent show, cultural",93.0,,,,
Aerodynamics in F1,Academic,Mechanical,4,90,Seminar Room,2024-10-24,11:00,"aerodynamics, f1",78.0,,,,
Badminton Championship Finals,Sports,Electrical,all,180,Open Ground,2024-11-03,13:00,"badminton, championship",90.0,,,,
Time Management for Professionals,Professional,Management,all,100,Seminar Room,2024-08-16,10:00,"time management, professionals",80.0,,,,
IoT Ecosystems,Technology,Electrical,4,100,Virtual,2024-11-16,10:00,"iot, ecosystems",87.0,,,,
Traditional Folk Music,Cultural,Science,all,100,Main Hall,2024-10-09,17:00,"folk music, traditional",77.0,,,,
Physics Research Showcase,Academic,Science,4,120,Main Hall,2024-12-06,10:00,"physics, research",80.0,,,,
Weightlifting Championship,Sports,Civil,all,100,Open Ground,2024-11-12,10:00,"weightlifting, championship",85.0,,,,
Business Communication Skills,Professional,Management,all,110,Seminar Room,2024-09-02,11:00,"business communication, skills",84.0,,,,
Quantum Computing for Developers,Technology,Computer,4,100,Virtual,2024-12-21,10:00,"quantum, development",86.0,,,,
Cultural Poetry Reading,Cultural,Science,all,70,Seminar Room,2024-12-13,15:00,"poetry, cultural",72.0,,,,
Advanced Machine Learning,Academic,Computer,4,120,Seminar Room,2024-10-02,09:00,"ml, advanced",90.0,,,,
Football Tournament,Sports,Civil,all,250,Open Ground,2024-11-17,14:00,"football, tournament",92.0,,,,
Startup Ecosystem Seminar,Professional,Management,all,180,Main Hall,2024-10-16,10:00,"startup, ecosystem",88.0,,,,
AI in Robotics Ethics,Technology,Mechanical,4,90,Virtual,2024-12-23,10:00,"ai, robotics",85.0,,,,
Cultural Photography Competition,Cultural,Management,all,120,Main Hall,2024-11-10,10:00,"photography, cultural",80.0,,,,
Chemistry Research Projects,Academic,Science,4,80,Seminar Room,2024-12-07,14:00,"chemistry, research",76.0,,,,
Volleyball Tournament Finals,Sports,Electrical,all,150,Open Ground,2024-12-01,14:00,"volleyball, finals",90.0,,,,
Professional Networking Event,Professional,Management,all,200,Main Hall,2024-09-19,17:00,"networking, professional",91.0,,,,
Deep Learning for NLP,Technology,Computer,4,110,Virtual,2024-11-28,10:00,"deep learning, nlp",89.0,,,,
Annual Science Exhibition,Academic,Science,all,200,Main Hall,2024-12-18,09:00,"science, exhibition",85.0,,,,
Basketball Tournament,Sports,Civil,all,200,Open Ground,2024-11-23,13:00,"basketball, tournament",91.0,,,,
Career Development Workshop,Professional,Management,all,100,Seminar Room,2024-08-31,10:00,"career, workshop",86.0,,,,
AI in Business Strategy,Technology,Computer,4,120,Virtual,2024-12-13,09:00,"ai, business",87.0,,,,
Cultural Drama Competition,Cultural,Management,all,180,Auditorium,2024-10-05,17:00,"drama, competition",88.0,,,,
Thermodynamics Advanced Applications,Academic,Mechanical,4,70,Seminar Room,2024-10-14,11:00,"thermodynamics, applications",77.0,,,,
Table Tennis Tournament,Sports,Mechanical,all,100,Main Hall,2024-11-11,14:00,"table tennis, tournament",88.0,,,,
Resume & Cover Letter Workshop,Professional,Management,all,80,Virtual,2024-09-18,10:00,"resume, cover letter",80.0,,,,
IoT Solutions for Industry,Technology,Electrical,4,100,Virtual,2024-12-10,10:00,"iot, industry",86.0,,,,
Traditional Dance Workshop,Cultural,Management,all,90,Main Hall,2024-09-13,16:00,"dance, traditional",80.0,,,,
Physics Electives Overview,Academic,Science,3,70,Seminar Room,2024-11-07,10:00,"physics, electives",74.0,,,,
Swimming Race,Sports,Civil,all,100,Open Ground,2024-09-20,10:00,"swimming, race",85.0,,,,
Leadership and Innovation,Professional,Management,all,120,Seminar Room,2024-10-27,09:00,"leadership, innovation",87.0,,,,
AI and Ethics,Technology,Computer,4,110,Virtual,2024-12-04,11:00,"ai, ethics",88.0,,,,
Cultural Arts Festival,Cultural,Management,all,300,Auditorium,2024-12-08,17:00,"arts, festival",94.0,,,,
Advanced Engineering Mathematics,Academic,Mechanical,4,85,Seminar Room,2024-11-20,10:00,"engineering maths, advanced",79.0,,,,
Tennis Championship,Sports,Electrical,all,150,Open Ground,2024-12-03,13:00,"tennis, championship",90.0,,,,
Professional Etiquette,Professional,Management,all,90,Seminar Room,2024-08-21,10:00,"etiquette, professional",82.0,,,,
Blockchain for Data Security,Technology,Computer,4,100,Virtual,2024-11-05,10:00,"blockchain, data security",87.0,,,,
Annual Alumni Meet,Professional,Management,all,350,Main Hall,2024-12-28,18:00,"alumni, networking",95.0,,,,
Chemistry Olympiad Prep,Academic,Science,4,60,Seminar Room,2024-12-14,09:00,"chemistry, olympiad",73.0,,,,
Athletics Fun Run,Sports,Civil,all,200,Open Ground,2024-11-01,08:00,"athletics, fun run",89.0,,,,
Career Transition Workshop,Professional,Management,all,70,Virtual,2024-10-15,10:00,"career, transition",78.0,,,,
AI in Education,Technology,Computer,4,100,Virtual,2024-12-20,10:00,"ai, education",86.0,,,,
Cultural Storytelling Festival,Cultural,Science,all,100,Auditorium,2024-10-26,16:00,"storytelling, cultural",79.0,,,,
Linear Algebra Review,Academic,Computer,3,75,Seminar Room,2024-09-07,14:00,"linear algebra, review",76.0,,,,
Swimming Techniques Workshop,Sports,Civil,all,50,Open Ground,2024-08-18,10:00,"swimming, techniques",75.0,,,,
Leadership Coaching,Professional,Management,all,80,Seminar Room,2024-11-03,09:00,"leadership, coaching",85.0,,,,
Deep Learning for Healthcare,Technology,Computer,4,120,Virtual,2024-12-05,10:00,"deep learning, healthcare",90.0,,,,
Annual Academic Conference,Academic,all,all,250,Main Hall,2024-12-21,09:00,"academic, conference",91.0,,,,
Football Marathon,Sports,Civil,all,150,Open Ground,2024-11-09,14:00,"football, marathon",89.0,,,,
Startup Mentorship Program,Professional,Management,all,100,Virtual,2024-09-29,11:00,"startup, mentorship",87.0,,,,
AI in Retail,Technology,Computer,4,110,Virtual,2024-12-16,10:00,"ai, retail",87.0,,,,
Cultural Music Festival,Cultural,Management,all,300,Auditorium,2024-11-22,18:00,"music, festival",93.0,,,,
Advanced Physics Concepts,Academic,Science,3,70,Seminar Room,2024-10-09,11:00,"physics, advanced",75.0,,,,
Basketball Skills Workshop,Sports,Civil,all,80,Open Ground,2024-07-27,15:00,"basketball, skills",75.0,,,,
Professional Development Seminars,Professional,Management,all,150,Main Hall,2024-10-10,10:00,"professional development, seminars",88.0,,,,
IoT Security Best Practices,Technology,Electrical,4,90,Virtual,2024-12-12,10:00,"iot, security",86.0,,,,
Traditional Dance Gala,Cultural,Management,all,200,Auditorium,2024-10-17,18:00,"dance, traditional",90.0,,,,
Chemistry Quiz Competition,Academic,Science,2,70,Seminar Room,2024-09-08,14:00,"chemistry, quiz",72.0,,,,
Table Tennis Coaching Clinic,Sports,Mechanical,all,60,Main Hall,2024-09-28,15:00,"table tennis, coaching",79.0,,,,
Career Networking Tips,Professional,Management,all,90,Virtual,2024-11-18,11:00,"networking, career",85.0,,,,
Deep Learning with TensorFlow,Technology,Computer,4,130,Virtual,2024-11-08,09:00,"deep learning, tensorflow",91.0,,,,
Annual Cultural Day,Cultural,Management,all,350,Open Ground,2024-12-01,17:00,"cultural day, annual",97.0,,,,
Aerodynamics Workshop,Academic,Mechanical,3,80,Seminar Room,2024-11-26,10:00,"aerodynamics, workshop",77.0,,,,
Badminton Mixed Doubles,Sports,Electrical,all,100,Open Ground,2024-10-21,13:00,"badminton, mixed doubles",87.0,,,,
Time Management Workshop,Professional,Management,all,100,Seminar Room,2024-07-06,10:00,"time management, workshop",79.0,,,,
IoT for Smart Homes,Technology,Electrical,3,100,Virtual,2024-10-01,09:00,"iot, smart homes",85.0,,,,
Cultural Street Art Festival,Cultural,Management,all,250,Open Ground,2024-11-07,16:00,"street art, cultural",88.0,,,,
Physics Olympiad Training,Academic,Science,4,55,Seminar Room,2024-12-22,09:00,"physics, olympiad",72.0,,,,
Weightlifting Basics,Sports,Civil,all,70,Open Ground,2024-11-10,10:00,"weightlifting, basics",79.0,,,,
Business Ethics Seminar,Professional,Management,all,100,Seminar Room,2024-08-03,10:00,"business ethics, ethics",81.0,,,,
Quantum Computing Research,Academic,Science,4,90,Virtual,2024-12-24,11:00,"quantum, research",78.0,,,,
Table Tennis Exhibition Match,Sports,Mechanical,all,70,Main Hall,2024-10-29,14:00,"table tennis, exhibition",85.0,,,,
Digital Marketing Strategies,Professional,Management,all,120,Virtual,2024-11-15,09:00,"digital marketing, strategies",88.0,,,,
AI and the Future of Work,Technology,Computer,4,140,Main Hall,2024-12-07,10:00,"ai, future of work",90.0,,,,
Cultural Dance Competition,Cultural,Management,all,280,Auditorium,2024-10-20,18:00,"dance, competition",92.0,,,,
Advanced Control Systems Design,Academic,Electrical,4,75,Seminar Room,2024-11-13,11:00,"control systems, design",77.0,,,,
Tennis Coaching Clinic,Sports,Electrical,all,60,Open Ground,2024-08-26,16:00,"tennis, coaching",70.0,,,,
Career Guidance Session,Professional,Management,all,100,Virtual,2024-09-01,10:00,"career, guidance",86.0,,,,
Deep Learning Project Showcase,Technology,Computer,4,150,Main Hall,2024-12-11,09:00,"deep learning, projects",92.0,,,,
Annual Freshers' Meet,Cultural,Management,1,300,Auditorium,2024-08-15,18:00,"freshers, welcome",95.0,,,,
Physics for Engineers,Academic,Science,2,80,Seminar Room,2024-09-16,14:00,"physics, engineering",75.0,,,,
Swimming Workshop,Sports,Civil,all,60,Open Ground,2024-09-12,10:00,"swimming, workshop",78.0,,,,
Professional Ethics,Professional,Management,all,90,Seminar Room,2024-10-06,10:00,"ethics, professional",80.0,,,,
Blockchain and Cryptocurrencies,Technology,Computer,3,120,Virtual,2024-11-04,10:00,"blockchain, crypto",86.0,,,,
Cultural Arts Workshop,Cultural,Management,all,80,Main Hall,2024-11-09,15:00,"arts, workshop",79.0,,,,
Chemistry Lab Safety,Academic,Science,1,50,Seminar Room,2024-09-03,14:00,"chemistry, safety",68.0,,,,
Football Skills Workshop,Sports,Civil,all,90,Open Ground,2024-08-02,16:00,"football, skills",76.0,,,,
Job Application Strategies,Professional,Management,all,110,Virtual,2024-09-22,11:00,"job application, strategies",88.0,,,,
AI for Autonomous Systems,Technology,Mechanical,4,100,Virtual,2024-12-15,10:00,"ai, autonomous",89.0,,,,
Cultural Exchange Workshop,Cultural,Management,all,150,Main Hall,2024-10-30,16:00,"culture, exchange",89.0,,,,
Aerodynamics in Sports,Academic,Mechanical,3,70,Seminar Room,2024-11-21,11:00,"aerodynamics, sports",75.0,,,,
Badminton Tournament League,Sports,Electrical,all,120,Open Ground,2024-10-25,13:00,"badminton, league",89.0,,,,
Time Management Best Practices,Professional,Management,all,90,Seminar Room,2024-08-09,10:00,"time management, best practices",80.0,,,,
IoT for Agriculture,Technology,Electrical,4,90,Virtual,2024-12-19,09:00,"iot, agriculture",85.0,,,,
Cultural Storytelling Performance,Cultural,Science,all,100,Auditorium,2024-12-09,16:00,"storytelling, performance",78.0,,,,
Physics Nobel Laureate Talk,Academic,Science,4,150,Main Hall,2024-12-02,10:00,"physics, nobel",85.0,,,,
Weightlifting Training Program,Sports,Civil,all,80,Open Ground,2024-11-27,10:00,"weightlifting, training",82.0,,,,
Business Communication Workshop,Professional,Management,all,100,Seminar Room,2024-09-26,10:00,"business communication, workshop",83.0,,,,
Quantum Computing Future,Technology,Computer,4,110,Virtual,2024-12-26,11:00,"quantum, future",87.0,,,,
Cultural Heritage Walk,Cultural,Management,all,100,Open Ground,2024-11-12,14:00,"heritage, culture",80.0,,,,
Advanced Engineering Mechanics,Academic,Mechanical,4,75,Seminar Room,2024-12-04,10:00,"engineering mechanics, advanced",78.0,,,,
Tennis Skills Clinic,Sports,Electrical,all,70,Open Ground,2024-09-17,16:00,"tennis, skills",72.0,,,,
Career Success Strategies,Professional,Management,all,120,Seminar Room,2024-10-03,09:00,"career, success",86.0,,,,
Deep Learning in Finance,Technology,Computer,4,120,Virtual,2024-12-06,10:00,"deep learning, finance",89.0,,,,
Annual Science Fest,Academic,Science,all,250,Main Hall,2024-12-26,09:00,"science, fest",90.0,,,,
Football Skills Camp,Sports,Civil,all,100,Open Ground,2024-07-24,15:00,"football, skills",75.0,,,,
Startup Idea Pitch,Professional,Management,all,150,Auditorium,2024-10-08,14:00,"startup, pitch",89.0,,,,
AI in Gaming,Technology,Computer,3,100,Virtual,2024-12-25,10:00,"ai, gaming",85.0,,,,
Cultural Art Exhibition,Cultural,Management,all,200,Auditorium,2024-11-06,16:00,"art, exhibition",80.0,,,,
Chemistry Practical Workshop,Academic,Science,2,55,Seminar Room,2024-10-11,14:00,"chemistry, practical",70.0,,,,
Volleyball Drills,Sports,Electrical,all,80,Open Ground,2024-08-14,14:00,"volleyball, drills",78.0,,,,
Professional Networking Workshop,Professional,Management,all,100,Seminar Room,2024-09-11,10:00,"networking, workshop",85.0,,,,
IoT for Healthcare,Technology,Electrical,4,110,Virtual,2024-12-28,10:00,"iot, healthcare",87.0,,,,
Cultural Movie Night,Cultural,Management,all,180,Auditorium,2024-10-13,19:00,"movie, cultural",82.0,,,,
Physics Review Session,Academic,Science,1,70,Seminar Room,2024-09-05,11:00,"physics, review",71.0,,,,
Athletics Skills Training,Sports,Civil,all,100,Open Ground,2024-08-05,09:00,"athletics, training",77.0,,,,
Job Search Masterclass,Professional,Management,all,90,Virtual,2024-10-22,11:00,"job search, masterclass",87.0,,,,
AI and Robotics Integration,Technology,Mechanical,4,120,Virtual,2024-12-27,09:00,"ai, robotics",89.0,,,,
Cultural Fashion Show Gala,Cultural,Management,all,300,Auditorium,2024-11-30,19:00,"fashion, gala",93.0,,,,
Advanced Linear Algebra,Academic,Computer,4,80,Seminar Room,2024-10-19,10:00,"linear algebra, advanced",78.0,,,,
Swimming Championship Finals,Sports,Civil,all,150,Open Ground,2024-09-25,10:00,"swimming, finals",88.0,,,,
Career Development Bootcamp,Professional,Management,all,150,Main Hall,2024-11-02,09:00,"career, bootcamp",89.0,,,,
Deep Learning for Image Recognition,Technology,Computer,4,120,Virtual,2024-12-14,09:00,"deep learning, image recognition",90.0,,,,
Annual Quiz Competition,Academic,all,all,200,Main Hall,2024-12-29,10:00,"quiz, annual",85.0,,,,
Football Friendly Championship,Sports,Civil,all,200,Open Ground,2024-11-25,14:00,"football, friendly",90.0,,,,
Startup Funding Seminar,Professional,Management,all,180,Main Hall,2024-10-24,10:00,"startup, funding",88.0,,,,
AI in Cybersecurity Attacks,Technology,Computer,4,130,Virtual,2024-12-29,10:00,"ai, cybersecurity",89.0,,,,
Cultural Food Festival,Cultural,Management,all,300,Open Ground,2024-11-05,17:00,"food, festival",92.0,,,,
Chemistry Practical Exams,Academic,Science,1,50,Seminar Room,2024-09-14,14:00,"chemistry, exams",67.0,,,,
Volleyball Tournament League,Sports,Electrical,all,100,Open Ground,2024-11-20,13:00,"volleyball, league",88.0,,,,
Professional Skills Development,Professional,Management,all,110,Seminar Room,2024-09-06,10:00,"professional skills, development",84.0,,,,
IoT Device Security,Technology,Electrical,4,90,Virtual,2024-12-21,11:00,"iot, security",85.0,,,,
Cultural Music Performance,Cultural,Management,all,250,Auditorium,2024-10-29,18:00,"music, performance",91.0,,,,
Physics Concepts Illustrated,Academic,Science,2,70,Seminar Room,2024-09-11,11:00,"physics, concepts",73.0,,,,
Athletics Warm-up Session,Sports,Civil,all,80,Open Ground,2024-08-04,09:00,"athletics, warm-up",75.0,,,,
Job Search Networking,Professional,Management,all,100,Virtual,2024-11-08,10:00,"job search, networking",86.0,,,,
AI Workshop,Technology,Computer,3,120,Seminar Room,2024-07-15,10:00,ai ml workshop,85.0,,,,
Cricket Tournament,Sports,Management,2,300,Open Ground,2024-08-22,16:00,sports cricket tournament,78.0,,,,
Robotics Seminar,Technology,Mechanical,4,80,Auditorium,2024-09-10,14:30,robotics automation,92.0,,,,
Cultural Fest,Cultural,Management,1,350,Main Hall,2024-10-05,18:00,dance music culture,88.0,,,,
Data Science Talk,Academic,Computer,3,150,Seminar Room,2024-07-28,11:00,data science analytics,79.0,,,,
Football Match,Sports,Management,2,250,Open Ground,2024-08-15,17:30,sports football,72.0,,,,
Web Development,Technology,Computer,2,100,Seminar Room,2024-09-18,09:30,web development coding,86.0,,,,
Physics Quiz,Academic,Science,1,200,Auditorium,2024-10-12,15:00,physics quiz competition,65.0,,,,
Career Fair,Professional,Management,4,400,Main Hall,2024-11-20,10:00,career jobs placement,94.0,,,,
Dance Competition,Cultural,Management,3,180,Main Hall,2024-08-30,19:00,dance competition,83.0,,,,
Machine Learning,Technology,Computer,4,90,Seminar Room,2024-07-22,13:00,ml algorithms,91.0,,,,
Basketball Game,Sports,Management,1,200,Open Ground,2024-09-25,16:30,sports basketball,68.0,,,,
Civil Engineering,Academic,Civil,3,120,Auditorium,2024-10-08,14:00,civil engineering,74.0,,,,
Music Festival,Cultural,Management,2,320,Main Hall,2024-11-15,20:00,music festival,89.0,,,,
Startup Pitch,Professional,Management,4,150,Seminar Room,2024-12-03,11:30,startup entrepreneurship,87.0,,,,
AI Workshop,Technology,Computer,3,120,Seminar Room,2024-07-05,10:00,"tech, ai",88.0,,,,
Career Fair,Professional,Management,4,300,Auditorium,2024-08-10,11:00,"career, internship",92.0,,,,
Tech Talk,Technology,Electrical,2,150,Main Hall,2024-09-15,14:00,"tech, innovation",79.0,,,,
Cultural Fest,Cultural,Civil,3,400,Open Ground,2024-10-20,18:00,"culture, dance",85.0,,,,
Robotics Expo,Technology,Mechanical,2,200,Auditorium,2024-08-25,09:00,"robotics, automation",91.0,,,,
Math Olympiad,Academic,Science,1,100,Seminar Room,2024-09-05,10:30,"math, logic",76.0,,,,
Football Tournament,Sports,Mechanical,2,220,Open Ground,2024-11-10,16:00,"sports, football",83.0,,,,
Alumni Meet,Professional,Management,4,180,Main Hall,2024-12-01,15:00,"networking, alumni",88.0,,,,
AI Ethics Talk,Technology,Computer,3,90,Seminar Room,2024-07-18,11:30,"ethics, ai",81.0,,,,
Science Fair,Academic,Science,2,250,Main Hall,2024-10-02,12:00,"science, research",89.0,,,,
Cultural Night,Cultural,Management,3,300,Auditorium,2024-09-22,19:00,"dance, music",84.0,,,,
Startup Bootcamp,Professional,Computer,4,140,Seminar Room,2024-08-14,13:00,"startup, pitch",77.0,,,,
Badminton Championship,Sports,Electrical,1,110,Open Ground,2024-10-12,17:00,"sports, badminton",72.0,,,,
Civil Model Making,Technology,Civil,2,130,Main Hall,2024-07-20,10:00,"model, design",75.0,,,,
Cybersecurity 101,Technology,Computer,3,100,Seminar Room,2024-08-02,09:30,"security, cyber",82.0,,,,
Drama Night,Cultural,Civil,3,180,Auditorium,2024-11-03,18:30,"drama, theatre",87.0,,,,
Resume Workshop,Professional,Management,4,70,Seminar Room,2024-07-27,14:00,"resume, skills",79.0,,,,
Science Quiz,Academic,Science,2,90,Seminar Room,2024-09-09,11:00,"quiz, knowledge",74.0,,,,
Hackathon,Technology,Computer,4,300,Virtual,2024-08-30,09:00,"hackathon, code",96.0,,,,
Music Jam,Cultural,Electrical,1,200,Auditorium,2024-12-20,17:30,"music, jam",80.0,,,,
Machine Learning Talk,Technology,Computer,3,110,Seminar Room,2024-07-12,12:30,"ml, data",85.0,,,,
Basketball League,Sports,Mechanical,2,160,Open Ground,2024-09-25,15:00,"sports, basketball",78.0,,,,
Ethical Hacking Workshop,Technology,Computer,3,90,Seminar Room,2024-08-07,10:00,"hacking, cybersecurity",88.0,,,,
Art & Craft,Cultural,Civil,2,130,Main Hall,2024-10-05,13:30,"art, painting",76.0,,,,
Industry Talk,Professional,Management,4,200,Auditorium,2024-08-21,10:30,"industry, speaker",89.0,,,,
Chemistry Challenge,Academic,Science,2,85,Seminar Room,2024-09-18,09:00,"chemistry, quiz",73.0,,,,
Cricket Match,Sports,Civil,1,220,Open Ground,2024-11-15,08:30,"cricket, sports",84.0,,,,
Python Bootcamp,Technology,Computer,3,150,Virtual,2024-07-22,10:00,"python, coding",92.0,,,,
Open Mic Night,Cultural,Management,2,180,Auditorium,2024-10-28,19:00,"comedy, poetry",81.0,,,,
Product Management,Professional,Management,4,100,Seminar Room,2024-09-06,11:30,"product, strategy",87.0,,,,
Biology Fair,Academic,Science,2,130,Main Hall,2024-08-16,12:00,"biology, nature",78.0,,,,
Table Tennis Tournament,Sports,Electrical,1,90,Open Ground,2024-09-30,16:00,"table tennis, sports",75.0,,,,
Web Dev Basics,Technology,Computer,2,120,Seminar Room,2024-07-25,10:30,"webdev, html",83.0,,,,
Dance Battle,Cultural,Civil,3,210,Auditorium,2024-11-18,18:30,"dance, music",86.0,,,,
Physics Olympiad,Academic,Science,1,100,Seminar Room,2024-09-12,10:00,"physics, quiz",77.0,,,,
Volleyball League,Sports,Mechanical,2,140,Open Ground,2024-10-22,15:30,"sports, volleyball",79.0,,,,
Blockchain Basics,Technology,Computer,3,100,Seminar Room,2024-08-18,11:00,"blockchain, crypto",84.0,,,,
Hackathon,Technology,Computer,3,200,Seminar Room,2024-08-12,09:00,hackathon coding,93.0,,,,
Tennis Tournament,Sports,Management,2,100,Open Ground,2024-07-30,15:30,sports tennis,71.0,,,,
Chemistry Lab,Academic,Science,1,80,Seminar Room,2024-09-05,10:30,chemistry lab,66.0,,,,
Drama Performance,Cultural,Management,4,250,Main Hall,2024-10-25,19:30,drama theater,85.0,,,,
